"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000126267.11",11560.5021966009,-1.25774071164478,0.0884434643376507,-14.2208440280347,6.80274762953254e-46,1.80128072871346e-43,"COX6B1"
"ENSG00000126254.12",6529.11036811049,-1.11560667847201,0.0785064847087815,-14.2103761569548,7.90000204516875e-46,2.06980053583421e-43,"RBM42"
"ENSG00000129534.14",903.251235301664,1.39726509652308,0.0983853734962922,14.2019595684692,8.90860101674342e-46,2.30974040944525e-43,"MIS18BP1"
"ENSG00000124795.17",5762.14987140413,1.37872738901094,0.0971597988866831,14.1903071518185,1.05196963479599e-45,2.69933239279094e-43,"DEK"
"ENSG00000117500.13",2597.91418065327,1.46418914184979,0.103210821083065,14.1863917609123,1.1123673214293e-45,2.82518598269136e-43,"TMED5"
"ENSG00000088205.13",4276.82145910229,0.910163667150065,0.0642762123054132,14.1601944872755,1.61546444829362e-45,3.98631931735716e-43,"DDX18"
"ENSG00000092140.16",654.821919329053,1.37278677945086,0.0969413821532031,14.1609986257608,1.59708354961146e-45,3.98631931735716e-43,"G2E3"
"ENSG00000169976.7",4202.4499864569,-1.17806849892757,0.0831963281962964,-14.160102067822,1.61759040198101e-45,3.98631931735716e-43,"SF3B5"
"ENSG00000163104.18",2043.57418913201,1.35879070027113,0.0960163948056304,14.151652986157,1.8241841532251e-45,4.45136701703655e-43,"SMARCAD1"
"ENSG00000174744.14",3940.92270383958,-1.20498506964081,0.0854877405101047,-14.0954137102077,4.05265871255483e-45,9.79326945198929e-43,"BRMS1"
"ENSG00000175548.9",560.725358903777,1.37119787009031,0.0972891538183645,14.0940466256937,4.13190213017485e-45,9.88875423269731e-43,"ALG10B"
"ENSG00000229809.8",771.441303872592,-1.19466096445963,0.0848835587709097,-14.0741149612244,5.47864773682216e-45,1.29870040161432e-42,"ZNF688"
"ENSG00000144228.9",692.683081167349,1.13408775734858,0.0806427906638043,14.0631015868056,6.40178125829418e-45,1.50321071244285e-42,"SPOPL"
"ENSG00000151414.15",2722.34875016599,1.53871478553065,0.109575560899834,14.04249974077,8.5637780661067e-45,1.99207884173267e-42,"NEK7"
"ENSG00000196544.8",460.591131623086,-1.24964055161197,0.089062387829704,-14.031069479087,1.00622602978553e-44,2.31897832234831e-42,"BORCS6"
"ENSG00000099624.8",5398.28875114287,-1.60379069279482,0.114314287228733,-14.0296609608016,1.02641089580672e-44,2.3224879269663e-42,"ATP5F1D"
"ENSG00000108479.12",2369.64975323266,-1.51568228555656,0.108031552130382,-14.0299963822356,1.02156786920956e-44,2.3224879269663e-42,"GALK1"
"ENSG00000120868.14",667.361934040455,1.34154719210179,0.0956676553511911,14.0229964576537,1.1275161231268e-44,2.52056415528323e-42,"APAF1"
"ENSG00000156531.17",1522.50856861151,1.25368791345446,0.0894049591932718,14.022576876796,1.13420323580443e-44,2.52056415528323e-42,"PHF6"
"ENSG00000126432.14",11539.9509762696,-1.12909021260268,0.0805546567896914,-14.0164486772063,1.23649104085114e-44,2.72356300944998e-42,"PRDX5"
"ENSG00000054267.22",1724.77749400018,1.39766109159234,0.0997209427279092,14.0157228096599,1.24919914005209e-44,2.72741812244707e-42,"ARID4B"
"ENSG00000106211.10",44604.9709138469,-1.70675944998069,0.121782139227582,-14.0148585072164,1.26450047659931e-44,2.73681885761363e-42,"HSPB1"
"ENSG00000188419.14",1328.83635815989,1.32351051992626,0.094818807539931,13.958312219534,2.79985947494525e-44,6.0076295113265e-42,"CHM"
"ENSG00000114331.15",2590.0234237408,1.10668352172728,0.0793116759279476,13.9536015193106,2.99111347488921e-44,6.36314652905919e-42,"ACAP2"
"ENSG00000091039.17",3254.56299836657,1.3773032174398,0.0987437403690041,13.9482585153533,3.22381273857476e-44,6.80005924263778e-42,"OSBPL8"
"ENSG00000171159.5",3413.63140450395,-1.56283592936995,0.112134593923354,-13.9371435227043,3.76718090518028e-44,7.87942291848212e-42,"C9orf16"
"ENSG00000275052.5",3706.42796076732,1.14101689432371,0.0818736765729332,13.936309471913,3.81145167482812e-44,7.90558601553934e-42,"PPP4R3B"
"ENSG00000115464.15",3030.16983740903,1.27727265729426,0.0917940411708734,13.9145487114641,5.16851290408446e-44,1.06317591886498e-41,"USP34"
"ENSG00000058063.16",2478.45423014624,1.27421494520516,0.0916206432104393,13.9075092747218,5.70311062375591e-44,1.16352806086299e-41,"ATP11B"
"ENSG00000144224.17",4488.74007984569,1.09078935592086,0.0784497610384987,13.9043043787675,5.9643905528772e-44,1.2069404948058e-41,"UBXN4"
"ENSG00000182150.18",939.072880072121,1.19809165710425,0.0862832126722161,13.8855707848492,7.74806869730592e-44,1.55523733770923e-41,"ERCC6L2"
"ENSG00000122008.15",721.996235887843,1.54966358462474,0.11161158810043,13.8844327098933,7.87211619365046e-44,1.56749577647968e-41,"POLK"
